The Purge: Election Year, 6,"Years after sparing the man who killed his son, former police sergeant Barnes has become head of security for Senator Charlie Roan, a Presidential candidate targeted for death on Purge night due to her vow to eliminate the Purge.", 2016,"Action,Horror,Sci-Fi",109 min
Alice Through the Looking Glass, 6.3,Alice returns to the whimsical world of Wonderland and travels back in time to help the Mad Hatter., 2016,"Adventure,Family,Fantasy",113 min
Pete's Dragon, 6.8,"The adventures of an orphaned boy named Pete and his best friend Elliot, who just so happens to be a dragon.", 2016,"Adventure,Family,Fantasy",103 min
The Girl on the Train, 6.6,A divorcee becomes entangled in a missing persons investigation that promises to send shockwaves throughout her life., 2016,"Drama,Mystery,Thriller",112 min
Boo! A Madea Halloween, 4.6,"Madea winds up in the middle of mayhem when she spends a haunted Halloween fending off killers, paranormal poltergeists, ghosts, ghouls and zombies while keeping a watchful eye on a group of misbehaving teens.", 2016,"Comedy,Horror",103 min
Storks, 6.9,"Storks have moved on from delivering babies to packages. But when an order for a baby appears, the best delivery stork must scramble to fix the error by delivering the baby.", 2016,"Animation,Adventure,Comedy",87 min
10 Cloverfield Lane, 7.3,"After getting in a car accident, a woman is held in a shelter with two men, who claim the outside world is affected by a widespread chemical attack.", 2016,"Drama,Horror,Mystery",104 min
Lights Out, 6.4,"Rebecca must unlock the terror behind her little brother's experiences that once tested her sanity, bringing her face to face with an entity attached to their mother.", 2016,Horror,81 min
Allegiant, 5.7,After the earth, 2016,"Action,Adventure,Mystery",120 min
Hacksaw Ridge, 8.4,WWII American Army Medic , 2016,"Drama,History,War",139 min
Now You See Me 2, 6.5,The Four Horsemen resurface and are forcibly recruited by a tech genius to pull off their most impossible heist yet., 2016,"Action,Adventure,Comedy",129 min
Ice Age: Collision Course, 5.7,"Manny, Diego, and Sid join up with Buck to fend off a meteor strike that would destroy the world.", 2016,"Animation,Adventure,Comedy",94 min
The Boss, 5.4,"A titan of industry is sent to prison after she's caught insider trading. When she emerges ready to rebrand herself as America's latest sweetheart, not everyone she screwed over is so quick to forgive and forget.", 2016,Comedy,99 min
London Has Fallen, 5.9,"In London for the Prime Minister's funeral, Mike Banning discovers a plot to assassinate all the attending world leaders.", 2016,"Action,Crime,Drama",99 min
Miracles from Heaven, 7,A young girl suffering from a rare digestive disorder finds herself miraculously cured after surviving a terrible accident., 2016,"Biography,Drama,Family",109 min
Deepwater Horizon, 7.2,"A dramatization of the April 2010 disaster, when the offshore drilling rig Deepwater Horizon exploded and created the worst oil spill in U.S. history.", 2016,"Drama,Thriller",107 min
My Big Fat Greek Wedding 2, 6,A Portokalos family secret brings the beloved characters back together for an even bigger and Greeker wedding., 2016,"Comedy,Family,Romance",94 min
Why Him?, 6.6,A holiday gathering threatens to go off the rails when Ned Fleming realizes that his daughter's Silicon Valley billionaire boyfriend is about to pop the question., 2016,Comedy,111 min
Jack Reacher: Never Go Back, 6.1,"Jack Reacher must uncover the truth behind a major government conspiracy in order to clear his name. On the run as a fugitive from the law, Reacher uncovers a potential secret from his past that could change his life forever.", 2016,"Action,Adventure,Crime",118 min
Me Before You, 7.5,A girl in a small town forms an unlikely bond with a recently, 2016,"Drama,Romance",110 min
The BFG, 6.4,"A girl named Sophie encounters the Big Friendly Giant who, despite his intimidating appearance, turns out to be a kind", 2016,"Adventure,Family,Fantasy",117 min
Neighbors 2: Sorority Rising, 5.8,When their new next, 2016,Comedy,92 min
The Shallows, 6.4,"A mere 200 yards from shore, surfer Nancy is attacked by a great white shark, with her short journey to safety becoming the ultimate contest of wills.", 2016,"Drama,Horror,Thriller",86 min
Office Christmas Party, 6,"When his uptight CEO sister threatens to shut down his branch, the branch manager throws an epic Christmas party in order to land a big client and save the day, but the party gets way out of hand...", 2016,Comedy,105 min
Assassin's Creed, 6.4,"When Callum Lynch explores the memories of his ancestor Aguilar and gains the skills of a Master Assassin, he discovers he is a descendant of the secret Assassins society.", 2016,"Action,Adventure,Fantasy",115 min
Barbershop: The Next Cut, 5.9,"As their surrounding community has taken a turn for the worse, the crew at Calvin's Barbershop come together to bring some much needed change to their neighborhood.", 2016,"Comedy,Drama",111 min
13 Hours, 7.3,"During an attack on a U.S. compound in Libya, a security team struggles to make sense out of the chaos.", 2016,"Action,Drama,History",144 min
Fences, 7.6,A working, 2016,Drama,139 min
Kubo and the Two Strings, 7.9,A young boy named Kubo must locate a magical suit of armor worn by his late father in order to defeat a vengeful spirit from the past., 2016,"Animation,Adventure,Family",101 min
The Huntsman: Winter's War, 6.1,"Eric and fellow warrior Sara, raised as members of ice Queen Freya's army, try to conceal their forbidden love as they fight to survive the wicked intentions of both Freya and her sister Ravenna.", 2016,"Action,Adventure,Drama",114 min
Warcraft, 7,"As an Orc horde invades the planet Azeroth using a magic portal, a few human heroes and dissenting Orcs must attempt to stop the true evil behind this war.", 2016,"Action,Adventure,Fantasy",123 min
How to Be Single, 6.1,A group of young adults navigate love and relationships in New York City., 2016,"Comedy,Romance",110 min
Mike and Dave Need Wedding Dates, 6,Two hard, 2016,"Adventure,Comedy,Romance",98 min
War Dogs, 7.1,"Based on the true story of two young men, David Packouz and Efraim Diveroli, who won a ", 2016,"Comedy,Crime,Drama",114 min
Almost Christmas, 6,A dysfunctional family gathers together for their first Christmas since their mom died., 2016,"Comedy,Drama",111 min
Manchester by the Sea, 8.2,An uncle is asked to take care of his teenage nephew after the boy's father dies., 2016,Drama,137 min
Money Monster, 6.6,Financial TV host Lee Gates and his producer Patty are put in an extreme situation when an irate investor takes over their studio., 2016,"Crime,Drama,Thriller",98 min
Allied, 7.1,"In 1942, a Canadian intelligence officer in North Africa encounters a female French Resistance fighter on a deadly mission behind enemy lines. When they reunite in London, their relationship is tested by the pressures of war.", 2016,"Action,Drama,Romance",124 min
Nerve, 6.6,"A high school senior finds herself immersed in an online game of truth or dare, where her every move starts to become manipulated by an anonymous community of ", 2016,"Adventure,Crime,Thriller",96 min
Risen, 6.3,"In 33 AD, a Roman Tribune in Judea is tasked to find the missing body of an executed Jew rumored to have risen from the dead.", 2016,"Action,Adventure,Drama",107 min
The Nice Guys, 7.4,"In 1970s Los Angeles, a mismatched pair of private eyes investigate a missing girl and the mysterious death of a porn star.", 2016,"Action,Comedy,Crime",116 min
The Boy, 6,An American nanny is shocked that her new English family's boy is actually a life, 2016,"Horror,Mystery,Thriller",97 min
Dirty Grandpa, 6,"Right before his wedding, an uptight guy is tricked into driving his grandfather, a lecherous former Army Lieutenant", 2016,Comedy,102 min
The 5th Wave, 5.2,"Four waves of increasingly deadly alien attacks have left most of Earth decimated. Cassie is on the run, desperately trying to save her younger brother.", 2016,"Action,Adventure,Sci-Fi",112 min
Ouija: Origin of Evil, 6.2,"In 1967 Los Angeles, a widowed mother and her 2 daughters add a new stunt to bolster their seance scam business, inviting an evil presence into their home.", 2016,"Horror,Thriller",99 min
Inferno, 6.2,"When Robert Langdon wakes up in an Italian hospital with amnesia, he teams up with Dr. Sienna Brooks, and together they must race across Europe against the clock to foil a deadly global plot.", 2016,"Action,Adventure,Crime",121 min
Mother's Day, 5.6,Three generations come together in the week leading up to Mother's Day., 2016,"Comedy,Drama",118 min
Gods of Egypt, 5.5,"Mortal hero Bek teams with the god Horus in an alliance against Set, the merciless god of darkness, who has usurped Egypt's throne, plunging the once peaceful and prosperous empire into chaos and conflict.", 2016,"Action,Adventure,Fantasy",126 min
Collateral Beauty, 6.6,"Retreating from life after a tragedy, a man questions the universe by writing to Love, Time and Death. Receiving unexpected answers, he begins to see how these things interlock and how even loss can reveal moments of meaning and beauty.", 2016,"Drama,Romance",97 min
"Hail, Caesar!", 6.3,A Hollywood fixer in the 1950s works to keep the studio's stars in line., 2016,"Comedy,Mystery",106 min
Underworld: Blood Wars, 6.4,"Vampire death dealer, Selene ", 2016,"Action,Horror",91 min
When the Bough Breaks, 4.6,A surrogate mom for a couple becomes dangerously obsessed with the soon, 2016,"Drama,Horror,Mystery",107 min
Zoolander 2, 4.8,"Derek and Hansel are lured into modeling again, in Rome, where they find themselves the target of a sinister conspiracy.", 2016,Comedy,102 min
Patriots Day, 7.6,"The story of the 2013 Boston Marathon bombing and the aftermath, which includes the city", 2016,"Drama,History,Thriller",133 min
Monster Trucks, 5.5,"Looking for any way to get away from the life and town he was born into, Tripp ", 2016,"Animation,Action,Adventure",105 min
The Finest Hours, 6.8,The Coast Guard makes a daring rescue attempt off the coast of Cape Cod after a pair of oil tankers are destroyed during a blizzard in 1952., 2016,"Action,Drama,History",117 min
Florence Foster Jenkins, 7,"The story of Florence Foster Jenkins, a New York heiress who dreamed of becoming an opera singer, despite having a terrible singing voice.", 2016,"Biography,Comedy,Drama",111 min
Hell or High Water, 7.7,A divorced father and his ex, 2016,"Action,Crime,Drama",102 min
The Forest, 4.8,"A woman goes into Japan's Suicide Forest to find her twin sister, and confronts supernatural terror.", 2016,"Horror,Mystery,Thriller",93 min
Ben-Hur, 5.7,Judah Ben, 2016,"Action,Adventure,Drama",125 min
Bridget Jones's Baby, 6.7,"Bridget's focus on single life and her career is interrupted when she finds herself pregnant, but with one hitch ... she can only be fifty percent sure of the identity of her baby's father.", 2016,"Comedy,Romance",123 min
Kevin Hart: What Now?, 5.7,"Comedian Kevin Hart performs in front of a crowd of 50,000 people at Philadelphia's outdoor venue, Lincoln Financial Field.", 2016,"Documentary,Comedy",96 min
Whiskey Tango Foxtrot, 6.6,A journalist recounts her wartime coverage in Afghanistan., 2016,"Biography,Comedy,Drama",112 min
Snowden, 7.3,"The NSA's illegal surveillance techniques are leaked to the public by one of the agency's employees, ", 2016,"Biography,Drama,Thriller",134 min
Mechanic: Resurrection, 5.6,"Arthur Bishop thought he had put his murderous past behind him when his most formidable foe kidnaps the love of his life. Now he is forced to travel the globe to complete three impossible assassinations, and do what he does best, make them look like accidents.", 2016,"Action,Adventure,Crime",98 min
God's Not Dead 2, 4.1,"When a high school teacher is asked a question in class about Jesus, her response lands her in deep trouble.", 2016,Drama,120 min
Free State of Jones, 6.9,"A disillusioned Confederate army deserter returns to Mississippi and leads a militia of fellow deserters, runaway slaves, and women in an uprising against the corrupt local Confederate government.", 2016,"Action,Biography,Drama",139 min
Blair Witch, 5.1,"After discovering a video showing what he believes to be his vanished sister Heather, James and a group of friends head to the forest believed to be inhabited by the Blair Witch.", 2016,"Horror,Thriller",89 min
Keanu, 6.3,Friends hatch a plot to retrieve a stolen kitten by posing as drug dealers for a street gang., 2016,"Action,Comedy",100 min
Middle School: The Worst Years of My Life, 6,"Imaginative quiet teenager Rafe Katchadorian is tired of his middle school's obsession with the rules at the expense of any and all creativity. Desperate to shake things up, Rafe and his ...                ", 2016,Comedy,92 min
Lion, 8,A five, 2016,Drama,118 min
Nine Lives, 5.3,A stuffy businessman finds himself trapped inside the body of his family's cat., 2016,"Comedy,Family,Fantasy",87 min
Race, 7.1,"Jesse Owens' quest to become the greatest track and field athlete in history thrusts him onto the world stage of the 1936 Olympics, where he faces off against Adolf Hitler's vision of Aryan supremacy.", 2016,"Biography,Drama,Sport",134 min
The Choice, 6.5,Travis and Gabby first meet as neighbors in a small coastal town and wind up in a relationship that is tested by life's most defining events., 2016,"Drama,Romance",111 min
Moonlight, 8.2,A timeless story of human self, 2016,Drama,111 min
Bad Santa 2, 5.5,"Fueled by cheap whiskey, greed and hatred, Willie teams up once again with his angry little sidekick, Marcus, to knock off a Chicago charity on Christmas Eve.", 2016,"Comedy,Crime,Drama",92 min
Masterminds, 5.7,A guard at an armored car company in the Southern U.S. organizes one of the biggest bank heists in American history. Based on the October 1997 Loomis Fargo robbery., 2016,"Action,Comedy,Crime",95 min
Norm of the North, 3.7,"When a real estate development invades his Arctic home, Norm and his three lemming friends head to New York City, where Norm becomes the mascot of the corporation in an attempt to bring it down from the inside and protect his homeland.", 2016,"Animation,Adventure,Comedy",90 min
The Birth of a Nation, 6.1,"Nat Turner, a literate slave and preacher in the antebellum South, orchestrates an uprising.", 2016,"Biography,Drama,History",120 min
Resident Evil: The Final Chapter, 6.3,Alice returns to where the nightmare began, 2016,"Action,Horror,Sci-Fi",106 min
Eddie the Eagle, 7.4,"The story of Eddie Edwards, the notoriously tenacious British underdog ski jumper who charmed the world at the 1988 Winter Olympics.", 2016,"Biography,Comedy,Drama",106 min
The Infiltrator, 7.1,A U.S. Customs official uncovers a money laundering scheme involving Colombian drug lord Pablo Escobar., 2016,"Biography,Crime,Drama",127 min
Keeping Up with the Joneses, 5.8,A suburban couple becomes embroiled in an international espionage plot when they discover that their seemingly perfect new neighbors are government spies., 2016,"Action,Comedy",105 min
Criminal, 6.3,In a last, 2016,"Action,Crime,Drama",113 min
The Edge of Seventeen, 7.7,High, 2016,"Comedy,Drama",104 min
Love & Friendship, 6.6,Lady Susan Vernon takes up temporary residence at her in, 2016,"Comedy,Drama,Romance",92 min
Hillary's America: The Secret History of the Democratic Party, 5.7,Documentarian , 2016,Documentary,106 min
Triple 9, 6.3,A gang of criminals and corrupt cops plan the murder of a police officer in order to pull off their biggest heist yet across town., 2016,"Action,Crime,Drama",115 min
The Light Between Oceans, 7.2,A lighthouse keeper and his wife living off the coast of Western Australia raise a baby they rescue from a drifting rowing boat., 2016,"Drama,Romance",133 min
Jackie, 7.3,Following the assassination of President , 2016,"Biography,Drama",100 min
Fifty Shades of Black, 3.5,An inexperienced college student meets a wealthy businessman whose sexual practices put a strain on their relationship., 2016,Comedy,92 min
No Manches Frida, 5.7,"NO MANCHES FRIDA is the story of Zequi, a recently released bank robber who goes to recover stolen money buried by his ditzy accomplice before going to jail. They return to the site only to...                ", 2016,Comedy,100 min
Dangal, 9,Biographical sports drama on former wrestler Mahavir Singh Phogat and his two wrestler daughters' struggle towards glory at the Commonwealth Games in the face of societal oppression., 2016,"Biography,Drama,Sport",161 min
Café Society, 6.7,"In the 1930s, a Bronx native moves to Hollywood and falls in love with a young woman who is seeing a married man.", 2016,"Comedy,Drama,Romance",96 min
Pride and Prejudice and Zombies, 5.8,Five sisters in 19th century England must cope with the pressures to marry while protecting themselves from a growing population of zombies., 2016,"Action,Horror,Romance",108 min
The Darkness, 4.3,"A family returns from a Grand Canyon vacation, haunted by an ancient supernatural entity they unknowingly awakened and engages them in a fight for their survival.", 2016,"Horror,Thriller",92 min
Nocturnal Animals, 7.7,A wealthy art gallery owner is haunted by her ex, 2016,"Drama,Thriller",116 min
Live by Night, 6.5,A group of Boston, 2016,"Crime,Drama",129 min
The Perfect Match, 4.8,"A playboy named Charlie, convinced that all his relationships are dead, meets the beautiful and mysterious Eva. Agreeing to a casual affair, Charlie then wants a bit more from their relationship.", 2016,"Comedy,Romance",96 min
Popstar: Never Stop Never Stopping, 6.7,"When it becomes clear that his solo album is a failure, a former boy band member does everything in his power to maintain his celebrity status.", 2016,"Comedy,Music",87 min
Meet the Blacks, 3.1,"As Carl Black gets the opportunity to move his family out of Chicago in hope of a better life, their arrival in Beverly Hills is timed with that city's annual purge, where all crime is legal for twelve hours.", 2016,"Comedy,Horror",94 min
Queen of Katwe, 7.3,A Ugandan girl sees her world rapidly change after being introduced to the game of chess., 2016,"Biography,Drama,Sport",124 min
A Beautiful Planet, 7.8,An exploration of Earth and beyond as seen from the International Space Station. Narrated by Jennifer Lawrence., 2016,Documentary,45 min
Ratchet & Clank, 5.7,"When the galaxy comes under the threat of a nefarious space captain, a mechanic and his newfound robot ally join an elite squad of combatants to save the universe.", 2016,"Animation,Action,Adventure",94 min
The Wild Life, 5.3,A daring parrot recounts how Robinson Crusoe came to be stranded on a tropical island., 2016,"Animation,Adventure,Comedy",91 min
The Founder, 7.3,The story of , 2016,"Biography,Drama,History",115 min
Loving, 7.2,"The story of Richard and Mildred Loving, an interracial couple, whose challenge of their anti", 2016,"Biography,Drama,Romance",123 min
Shut In, 4.4,A heart, 2016,"Drama,Thriller",91 min
The Brothers Grimsby, 6.2,A new assignment forces a top spy to team up with his football hooligan brother., 2016,"Action,Adventure,Comedy",83 min
The Young Messiah, 5.4,"Tells the story of Jesus Christ at age seven as he and his family depart Egypt to return home to Nazareth. Told from his childhood perspective, it follows young Jesus as he grows into his religious identity.", 2016,Drama,111 min
Silence, 7.6,Two priests travel to Japan in an attempt to locate their mentor and propagate Catholicism., 2016,"Drama,History",161 min
Southside with You, 6.5,"The film chronicles the summer 1989 afternoon when the future President of the United States, ", 2016,"Biography,Drama,History",84 min
Captain Fantastic, 7.9,"In the forests of the Pacific Northwest, a father devoted to raising his six kids with a rigorous physical and intellectual education is forced to leave his paradise and enter the world, challenging his idea of what it means to be a parent.", 2016,"Comedy,Drama",118 min
Sultan, 7.2,"Sultan is a classic underdog tale about a wrestler's journey, looking for a comeback by defeating all odds. Will he emerge victorious", 2016,"Action,Drama,Romance",170 min
Hunt for the Wilderpeople, 7.9,A national manhunt is ordered for a rebellious kid and his foster uncle who go missing in the wild New Zealand bush., 2016,"Adventure,Comedy,Drama",101 min
Bleed for This, 6.8,The inspirational story of World Champion Boxer , 2016,"Biography,Drama,Sport",117 min
Incarnate, 5.2,"A scientist with the ability to enter the subconscious minds of the possessed must save a young boy from the grips of a demon with powers never seen before, while facing the horrors of his past.", 2016,"Horror,Thriller",91 min
Absolutely Fabulous: The Movie, 5.5,After attracting both media and police attention for accidentally knocking , 2016,"Comedy,Crime",91 min
Hands of Stone, 6.6,The legendary Roberto Duran and his equally legendary trainer Ray Arcel change each other's lives., 2016,"Action,Biography,Drama",111 min
Don't Think Twice, 6.9,"When a member of a popular New York City improv troupe gets a huge break, the rest of the group ", 2016,"Comedy,Drama",92 min
Ae Dil Hai Mushkil, 5.8,This story explores love , 2016,"Drama,Musical,Romance",158 min
Gold, 6.5,"Kenny Wells, a prospector desperate for a lucky break, teams up with a similarly eager geologist and sets off on a journey to find gold in the uncharted jungle of Indonesia.", 2016,"Adventure,Drama,Thriller",120 min
Swiss Army Man, 7.1,A hopeless man stranded on a deserted island befriends a dead body and together they go on a surreal journey to get home., 2016,"Adventure,Comedy,Drama",97 min
A Hologram for the King, 6.1,A failed American sales rep looks to recoup his losses by traveling to Saudi Arabia and selling his company's product to a wealthy monarch., 2016,"Comedy,Drama",98 min
Denial, 6.5,"Acclaimed writer and historian Deborah E. Lipstadt must battle for historical truth to prove the Holocaust actually occurred when David Irving, a renowned denier, sues her for libel.", 2016,"Biography,Drama",109 min
20th Century Women, 7.8,The story of three women who explore love and freedom in Southern California during the late 1970s., 2016,"Comedy,Drama",119 min
Morgan, 5.7,A corporate risk, 2016,"Horror,Sci-Fi,Thriller",92 min
Kabali, 6.6,"Before Indian Independence, many Tamils from South India were sent to Malaysia as indentured laborers. Kabali, the protagonist, fights this oppression. After a lengthy imprisonment, he is more determined than ever to fight for his people.", 2016,"Action,Adventure,Crime",153 min
Batman: The Killing Joke, 6.5,"As Batman hunts for the escaped Joker, the Clown Prince of Crime attacks the Gordon family to prove a diabolical point mirroring his own fall into madness.", 2016,"Animation,Action,Crime",76 min
Max Steel, 4.6,"The adventures of teenager Max McGrath and his alien companion, Steel, who must harness and combine their tremendous new powers to evolve into the turbo", 2016,"Action,Adventure,Family",92 min
A Monster Calls, 7.7,A boy seeks the help of a tree monster to cope with his single mother's terminal illness., 2016,"Drama,Fantasy",108 min
Midnight Special, 6.7,"A father and son go on the run, pursued by the government and a cult drawn to the child's special powers.", 2016,"Adventure,Drama,Mystery",112 min
Rules Don't Apply, 6.1,"An unconventional love story of an aspiring actress, her determined driver, and the eccentric billionaire who they work for.", 2016,"Comedy,Drama,Romance",127 min
Miss Sloane, 6.2,In the high, 2016,"Drama,Thriller",132 min
Indignation, 6.9,"In 1951, Marcus, a working", 2016,"Drama,Romance",110 min
Everybody Wants Some!!, 7,"In 1980, a group of college baseball players navigate their way through the freedoms and responsibilities of unsupervised adulthood.", 2016,Comedy,117 min
Sing Street, 8,A boy growing up in Dublin during the 1980s escapes his strained family life by starting a band to impress the mysterious girl he likes., 2016,"Comedy,Drama,Music",106 min
Mei ren yu, 6.3,"Shan, a mermaid, is sent to assassinate Xuan, a developer who threatens the ecosystem of her race, but ends up falling in love with him instead.", 2016,"Comedy,Drama,Fantasy",94 min
Our Kind of Traitor, 6.2,"A couple finds themselves lured into a Russian oligarch's plans to defect, and are soon positioned between the Russian Mafia and the British Secret Service, neither of whom they can trust.", 2016,"Crime,Thriller",108 min
Compadres, 4.7,"As former cop Garza seeks revenge on Santos, the crime lord who framed him, he forms an unlikely team with a young hacker who successfully stole ", 2016,"Action,Comedy,Crime",101 min
The Other Side of the Door, 5.3,"After her young son is killed in a tragic accident, a woman learns of a ritual which will bring him back to say goodbye, but when she disobeys a sacred warning, she upsets the balance between life and death.", 2016,Horror,96 min
Anthropoid, 7.2,"Based on the extraordinary true story of Operation Anthropoid, the WWII mission to assassinate SS General Reinhard Heydrich, the main architect behind the Final Solution and the Reich's third in command after Hitler and Himmler.", 2016,"Biography,History,Thriller",120 min
The Beatles: Eight Days a Week - The Touring Years, 8,"A compilation of found footage featuring music, interviews, and stories of ", 2016,"Documentary,Music",137 min
The Eagle Huntress, 7.6,Thirteen, 2016,"Documentary,Adventure,Family",87 min
The Oscar Nominated Short Films 2016: Live Action, 7.1,Collective screening of the 2016 Academy Award nominated short films from the Live Action category., 2016,Drama,141 min
