Title,Description,ReleaseDate
The Shallows,"A mere 200 yards from shore, surfer Nancy is attacked by a great white shark, with her short journey to safety becoming the ultimate contest of wills.", 2016
Office Christmas Party,"When his uptight CEO sister threatens to shut down his branch, the branch manager throws an epic Christmas party in order to land a big client and save the day, but the party gets way out of hand...", 2016
Assassin's Creed,"When Callum Lynch explores the memories of his ancestor Aguilar and gains the skills of a Master Assassin, he discovers he is a descendant of the secret Assassins society.", 2016
Barbershop: The Next Cut,"As their surrounding community has taken a turn for the worse, the crew at Calvin's Barbershop come together to bring some much needed change to their neighborhood.", 2016
13 Hours,"During an attack on a U.S. compound in Libya, a security team struggles to make sense out of the chaos.", 2016
Fences,A working, 2016
Kubo and the Two Strings,A young boy named Kubo must locate a magical suit of armor worn by his late father in order to defeat a vengeful spirit from the past., 2016
The Huntsman: Winter's War,"Eric and fellow warrior Sara, raised as members of ice Queen Freya's army, try to conceal their forbidden love as they fight to survive the wicked intentions of both Freya and her sister Ravenna.", 2016
Warcraft,"As an Orc horde invades the planet Azeroth using a magic portal, a few human heroes and dissenting Orcs must attempt to stop the true evil behind this war.", 2016
How to Be Single,A group of young adults navigate love and relationships in New York City., 2016
Mike and Dave Need Wedding Dates,Two hard, 2016
War Dogs,"Based on the true story of two young men, David Packouz and Efraim Diveroli, who won a ", 2016
Almost Christmas,A dysfunctional family gathers together for their first Christmas since their mom died., 2016
Manchester by the Sea,An uncle is asked to take care of his teenage nephew after the boy's father dies., 2016
Money Monster,Financial TV host Lee Gates and his producer Patty are put in an extreme situation when an irate investor takes over their studio., 2016
Allied,"In 1942, a Canadian intelligence officer in North Africa encounters a female French Resistance fighter on a deadly mission behind enemy lines. When they reunite in London, their relationship is tested by the pressures of war.", 2016
Nerve,"A high school senior finds herself immersed in an online game of truth or dare, where her every move starts to become manipulated by an anonymous community of ", 2016
Risen,"In 33 AD, a Roman Tribune in Judea is tasked to find the missing body of an executed Jew rumored to have risen from the dead.", 2016
The Nice Guys,"In 1970s Los Angeles, a mismatched pair of private eyes investigate a missing girl and the mysterious death of a porn star.", 2016
The Boy,An American nanny is shocked that her new English family's boy is actually a life, 2016
Dirty Grandpa,"Right before his wedding, an uptight guy is tricked into driving his grandfather, a lecherous former Army Lieutenant", 2016
The 5th Wave,"Four waves of increasingly deadly alien attacks have left most of Earth decimated. Cassie is on the run, desperately trying to save her younger brother.", 2016
Ouija: Origin of Evil,"In 1967 Los Angeles, a widowed mother and her 2 daughters add a new stunt to bolster their seance scam business, inviting an evil presence into their home.", 2016
Inferno,"When Robert Langdon wakes up in an Italian hospital with amnesia, he teams up with Dr. Sienna Brooks, and together they must race across Europe against the clock to foil a deadly global plot.", 2016
Mother's Day,Three generations come together in the week leading up to Mother's Day., 2016
Gods of Egypt,"Mortal hero Bek teams with the god Horus in an alliance against Set, the merciless god of darkness, who has usurped Egypt's throne, plunging the once peaceful and prosperous empire into chaos and conflict.", 2016
Collateral Beauty,"Retreating from life after a tragedy, a man questions the universe by writing to Love, Time and Death. Receiving unexpected answers, he begins to see how these things interlock and how even loss can reveal moments of meaning and beauty.", 2016
"Hail, Caesar!",A Hollywood fixer in the 1950s works to keep the studio's stars in line., 2016
Underworld: Blood Wars,"Vampire death dealer, Selene ", 2016
When the Bough Breaks,A surrogate mom for a couple becomes dangerously obsessed with the soon, 2016
Zoolander 2,"Derek and Hansel are lured into modeling again, in Rome, where they find themselves the target of a sinister conspiracy.", 2016
Patriots Day,"The story of the 2013 Boston Marathon bombing and the aftermath, which includes the city", 2016
Monster Trucks,"Looking for any way to get away from the life and town he was born into, Tripp ", 2016
The Finest Hours,The Coast Guard makes a daring rescue attempt off the coast of Cape Cod after a pair of oil tankers are destroyed during a blizzard in 1952., 2016
Florence Foster Jenkins,"The story of Florence Foster Jenkins, a New York heiress who dreamed of becoming an opera singer, despite having a terrible singing voice.", 2016
Hell or High Water,A divorced father and his ex, 2016
The Forest,"A woman goes into Japan's Suicide Forest to find her twin sister, and confronts supernatural terror.", 2016
Ben-Hur,Judah Ben, 2016
Bridget Jones's Baby,"Bridget's focus on single life and her career is interrupted when she finds herself pregnant, but with one hitch ... she can only be fifty percent sure of the identity of her baby's father.", 2016
Kevin Hart: What Now?,"Comedian Kevin Hart performs in front of a crowd of 50,000 people at Philadelphia's outdoor venue, Lincoln Financial Field.", 2016
Whiskey Tango Foxtrot,A journalist recounts her wartime coverage in Afghanistan., 2016
Snowden,"The NSA's illegal surveillance techniques are leaked to the public by one of the agency's employees, ", 2016
Mechanic: Resurrection,"Arthur Bishop thought he had put his murderous past behind him when his most formidable foe kidnaps the love of his life. Now he is forced to travel the globe to complete three impossible assassinations, and do what he does best, make them look like accidents.", 2016
God's Not Dead 2,"When a high school teacher is asked a question in class about Jesus, her response lands her in deep trouble.", 2016
Free State of Jones,"A disillusioned Confederate army deserter returns to Mississippi and leads a militia of fellow deserters, runaway slaves, and women in an uprising against the corrupt local Confederate government.", 2016
Blair Witch,"After discovering a video showing what he believes to be his vanished sister Heather, James and a group of friends head to the forest believed to be inhabited by the Blair Witch.", 2016
Keanu,Friends hatch a plot to retrieve a stolen kitten by posing as drug dealers for a street gang., 2016
Middle School: The Worst Years of My Life,"Imaginative quiet teenager Rafe Katchadorian is tired of his middle school's obsession with the rules at the expense of any and all creativity. Desperate to shake things up, Rafe and his ...                ", 2016
Lion,A five, 2016
Nine Lives,A stuffy businessman finds himself trapped inside the body of his family's cat., 2016
Race,"Jesse Owens' quest to become the greatest track and field athlete in history thrusts him onto the world stage of the 1936 Olympics, where he faces off against Adolf Hitler's vision of Aryan supremacy.", 2016
The Choice,Travis and Gabby first meet as neighbors in a small coastal town and wind up in a relationship that is tested by life's most defining events., 2016
Moonlight,A timeless story of human self, 2016
Bad Santa 2,"Fueled by cheap whiskey, greed and hatred, Willie teams up once again with his angry little sidekick, Marcus, to knock off a Chicago charity on Christmas Eve.", 2016
Masterminds,A guard at an armored car company in the Southern U.S. organizes one of the biggest bank heists in American history. Based on the October 1997 Loomis Fargo robbery., 2016
Norm of the North,"When a real estate development invades his Arctic home, Norm and his three lemming friends head to New York City, where Norm becomes the mascot of the corporation in an attempt to bring it down from the inside and protect his homeland.", 2016
The Birth of a Nation,"Nat Turner, a literate slave and preacher in the antebellum South, orchestrates an uprising.", 2016
Resident Evil: The Final Chapter,Alice returns to where the nightmare began, 2016
Eddie the Eagle,"The story of Eddie Edwards, the notoriously tenacious British underdog ski jumper who charmed the world at the 1988 Winter Olympics.", 2016
The Infiltrator,A U.S. Customs official uncovers a money laundering scheme involving Colombian drug lord Pablo Escobar., 2016
Keeping Up with the Joneses,A suburban couple becomes embroiled in an international espionage plot when they discover that their seemingly perfect new neighbors are government spies., 2016
Criminal,In a last, 2016
The Edge of Seventeen,High, 2016
Love & Friendship,Lady Susan Vernon takes up temporary residence at her in, 2016
Hillary's America: The Secret History of the Democratic Party,Documentarian , 2016
Triple 9,A gang of criminals and corrupt cops plan the murder of a police officer in order to pull off their biggest heist yet across town., 2016
The Light Between Oceans,A lighthouse keeper and his wife living off the coast of Western Australia raise a baby they rescue from a drifting rowing boat., 2016
Jackie,Following the assassination of President , 2016
Fifty Shades of Black,An inexperienced college student meets a wealthy businessman whose sexual practices put a strain on their relationship., 2016
No Manches Frida,"NO MANCHES FRIDA is the story of Zequi, a recently released bank robber who goes to recover stolen money buried by his ditzy accomplice before going to jail. They return to the site only to...                ", 2016
Dangal,Biographical sports drama on former wrestler Mahavir Singh Phogat and his two wrestler daughters' struggle towards glory at the Commonwealth Games in the face of societal oppression., 2016
Café Society,"In the 1930s, a Bronx native moves to Hollywood and falls in love with a young woman who is seeing a married man.", 2016
Pride and Prejudice and Zombies,Five sisters in 19th century England must cope with the pressures to marry while protecting themselves from a growing population of zombies., 2016
The Darkness,"A family returns from a Grand Canyon vacation, haunted by an ancient supernatural entity they unknowingly awakened and engages them in a fight for their survival.", 2016
Nocturnal Animals,A wealthy art gallery owner is haunted by her ex, 2016
Live by Night,A group of Boston, 2016
The Perfect Match,"A playboy named Charlie, convinced that all his relationships are dead, meets the beautiful and mysterious Eva. Agreeing to a casual affair, Charlie then wants a bit more from their relationship.", 2016
Popstar: Never Stop Never Stopping,"When it becomes clear that his solo album is a failure, a former boy band member does everything in his power to maintain his celebrity status.", 2016
Meet the Blacks,"As Carl Black gets the opportunity to move his family out of Chicago in hope of a better life, their arrival in Beverly Hills is timed with that city's annual purge, where all crime is legal for twelve hours.", 2016
Queen of Katwe,A Ugandan girl sees her world rapidly change after being introduced to the game of chess., 2016
A Beautiful Planet,An exploration of Earth and beyond as seen from the International Space Station. Narrated by Jennifer Lawrence., 2016
Ratchet & Clank,"When the galaxy comes under the threat of a nefarious space captain, a mechanic and his newfound robot ally join an elite squad of combatants to save the universe.", 2016
The Wild Life,A daring parrot recounts how Robinson Crusoe came to be stranded on a tropical island., 2016
The Founder,The story of , 2016
Loving,"The story of Richard and Mildred Loving, an interracial couple, whose challenge of their anti", 2016
Shut In,A heart, 2016
The Brothers Grimsby,A new assignment forces a top spy to team up with his football hooligan brother., 2016
The Young Messiah,"Tells the story of Jesus Christ at age seven as he and his family depart Egypt to return home to Nazareth. Told from his childhood perspective, it follows young Jesus as he grows into his religious identity.", 2016
Silence,Two priests travel to Japan in an attempt to locate their mentor and propagate Catholicism., 2016
Southside with You,"The film chronicles the summer 1989 afternoon when the future President of the United States, ", 2016
Captain Fantastic,"In the forests of the Pacific Northwest, a father devoted to raising his six kids with a rigorous physical and intellectual education is forced to leave his paradise and enter the world, challenging his idea of what it means to be a parent.", 2016
Sultan,"Sultan is a classic underdog tale about a wrestler's journey, looking for a comeback by defeating all odds. Will he emerge victorious", 2016
Hunt for the Wilderpeople,A national manhunt is ordered for a rebellious kid and his foster uncle who go missing in the wild New Zealand bush., 2016
Bleed for This,The inspirational story of World Champion Boxer , 2016
Incarnate,"A scientist with the ability to enter the subconscious minds of the possessed must save a young boy from the grips of a demon with powers never seen before, while facing the horrors of his past.", 2016
Absolutely Fabulous: The Movie,After attracting both media and police attention for accidentally knocking , 2016
Hands of Stone,The legendary Roberto Duran and his equally legendary trainer Ray Arcel change each other's lives., 2016
Don't Think Twice,"When a member of a popular New York City improv troupe gets a huge break, the rest of the group ", 2016
Ae Dil Hai Mushkil,This story explores love , 2016
Gold,"Kenny Wells, a prospector desperate for a lucky break, teams up with a similarly eager geologist and sets off on a journey to find gold in the uncharted jungle of Indonesia.", 2016
Swiss Army Man,A hopeless man stranded on a deserted island befriends a dead body and together they go on a surreal journey to get home., 2016
A Hologram for the King,A failed American sales rep looks to recoup his losses by traveling to Saudi Arabia and selling his company's product to a wealthy monarch., 2016
Denial,"Acclaimed writer and historian Deborah E. Lipstadt must battle for historical truth to prove the Holocaust actually occurred when David Irving, a renowned denier, sues her for libel.", 2016
20th Century Women,The story of three women who explore love and freedom in Southern California during the late 1970s., 2016
Morgan,A corporate risk, 2016
Kabali,"Before Indian Independence, many Tamils from South India were sent to Malaysia as indentured laborers. Kabali, the protagonist, fights this oppression. After a lengthy imprisonment, he is more determined than ever to fight for his people.", 2016
Batman: The Killing Joke,"As Batman hunts for the escaped Joker, the Clown Prince of Crime attacks the Gordon family to prove a diabolical point mirroring his own fall into madness.", 2016
Max Steel,"The adventures of teenager Max McGrath and his alien companion, Steel, who must harness and combine their tremendous new powers to evolve into the turbo", 2016
A Monster Calls,A boy seeks the help of a tree monster to cope with his single mother's terminal illness., 2016
Midnight Special,"A father and son go on the run, pursued by the government and a cult drawn to the child's special powers.", 2016
Rules Don't Apply,"An unconventional love story of an aspiring actress, her determined driver, and the eccentric billionaire who they work for.", 2016
Miss Sloane,In the high, 2016
Indignation,"In 1951, Marcus, a working", 2016
Everybody Wants Some!!,"In 1980, a group of college baseball players navigate their way through the freedoms and responsibilities of unsupervised adulthood.", 2016
Sing Street,A boy growing up in Dublin during the 1980s escapes his strained family life by starting a band to impress the mysterious girl he likes., 2016
Mei ren yu,"Shan, a mermaid, is sent to assassinate Xuan, a developer who threatens the ecosystem of her race, but ends up falling in love with him instead.", 2016
Our Kind of Traitor,"A couple finds themselves lured into a Russian oligarch's plans to defect, and are soon positioned between the Russian Mafia and the British Secret Service, neither of whom they can trust.", 2016
Compadres,"As former cop Garza seeks revenge on Santos, the crime lord who framed him, he forms an unlikely team with a young hacker who successfully stole ", 2016
The Other Side of the Door,"After her young son is killed in a tragic accident, a woman learns of a ritual which will bring him back to say goodbye, but when she disobeys a sacred warning, she upsets the balance between life and death.", 2016
Anthropoid,"Based on the extraordinary true story of Operation Anthropoid, the WWII mission to assassinate SS General Reinhard Heydrich, the main architect behind the Final Solution and the Reich's third in command after Hitler and Himmler.", 2016
The Beatles: Eight Days a Week - The Touring Years,"A compilation of found footage featuring music, interviews, and stories of ", 2016
The Eagle Huntress,Thirteen, 2016
The Oscar Nominated Short Films 2016: Live Action,Collective screening of the 2016 Academy Award nominated short films from the Live Action category., 2016
The Disappointments Room,A mother and her young son release unimaginable horrors from the attic of their rural dream home., 2016
Hillsong: Let Hope Rise,A documentary on the Australia, 2016
Kapoor & Sons,"A story revolving around a dysfunctional family of 2 brothers who visit their family and discover that their parents marriage is on the verge of collapse,the family is undergoing a financial crunch and much more as the drama unfolds.", 2016
A Aa,Anand and Anasuya meet each other on a train ride. The two eventually fall in love and have to fight for their relationship., 2016
Busanhaeng,While a zombie, 2016
I'm Not Ashamed,Based on the inspiring and powerful true story and journal entries of , 2016
The Resurrection of Gavin Stone,A washed, 2016
Greater,"The story of Brandon Burlsworth, possibly the greatest walk", 2016
Ah-ga-ssi,"A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her.", 2016
Shin Godzilla,Japan is plunged into chaos upon the appearance of a giant monster., 2016
M.S. Dhoni: The Untold Story,The untold story of , 2016
Busco novio para mi mujer,"Paco, so fed up with his nagging and nitpicking wife, comes up with an ingenious plan to end the unhappy union", 2016
Billy Lynn's Long Halftime Walk,19, 2016
Weiner,An examination of disgraced New York Congressman Anthony Weiner's mayoral campaign and today's political landscape., 2016
Equity,Senior investment banker Naomi Bishop is threatened by a financial scandal and must untangle a web of corruption., 2016
Neerja,"Neerja is the story of the courageous Neerja Bhanot, who sacrificed her life while protecting the lives of 359 passengers on the Pan Am flight 73 in 1986. The flight was hijacked by a terrorist organization.", 2016
Jane Got a Gun,A woman asks her ex, 2016
Dear Zindagi,"Kaira is a budding cinematographer in search of a perfect life. Her encounter with Jug, an unconventional thinker, helps her gain a new perspective on life. She discovers that happiness is all about finding comfort in life's imperfections.", 2016
Genius,"A chronicle of Max Perkins's time as the book editor at Scribner, where he oversaw works by ", 2016
Fan,Gaurav's world revolves around the superstar Aryan Khanna. What happens when his passion turns into a dangerous obsession, 2016
The Neon Demon,"When aspiring model Jesse moves to Los Angeles, her youth and vitality are devoured by a group of beauty", 2016
Mohenjo Daro,"In 2016 BC, a kind farmer leads an uprising in the city of Mohenjo Daro.", 2016
Priceless,"A widower who loses custody of his daughter finds himself unable to hold down a job. He agrees to drive a truck across the country, no questions asked. But when he discovers what he is delivering, he is faced with a life", 2016
Housefull 3,"A father doesn't want his three daughters to get married. Now, it's up to three men to try to and convince the father that they're a good fit for his daughters.", 2016
The Innocents,"In 1945 Poland, a young French Red Cross doctor who is sent to assist the survivors of the German camps discovers several nuns in advanced states of pregnancy during a visit to a nearby convent.", 2016
Certain Women,The lives of three women intersect in small, 2016
Elvis & Nixon,The untold true story behind the meeting between , 2016
In-cheon sang-ryuk jak-jeon,A squad of soldiers fight in the Korean War's crucial Battle of Incheon., 2016
The Hollars,A man returns to his small hometown after learning that his mother has fallen ill and is about to undergo surgery., 2016
Un Padre No Tan Padre,"When Don Servando Villegas gets expelled from his retirement home, his younger son Francisco takes him in. Don Servando is about to find out the truth about his son and his way of living.", 2016
Julieta,"After a casual encounter, a brokenhearted woman decides to confront her life and the most important events about her stranded daughter.", 2016
Premam,"Three stages in Vikram's life, and three girls he encounters in each stage.", 2016
Mei Gong he xing dong,Inspired by the true story known as the Mekong Massacre, 2016
Ki & Ka,"Follows a young, married couple whose relationship challenges the gender roles placed upon women and men in Indian society.", 2016
Paterson,"A quiet observation of the triumphs and defeats of daily life, along with the poetry evident in its smallest details.", 2016
The Wailing,A stranger arrives in a little village and soon after a mysterious sickness starts spreading. A policeman is drawn into the incident and is forced to solve the mystery in order to save his daughter., 2016
31,"Five carnival workers are kidnapped and held hostage in an abandoned, Hell", 2016
Chongqing Hot Pot,"When a young man and his friends dig a hole to expand their restaurant, they enter a nearby bank vault that is being robbed.", 2016
I Belonged to You,A recently dumped radio host finds a new perspective on love when a young intern begins to work with him on his show., 2016
Little Men,A new pair of best friends have their bond tested by their parents' battle over a dress shop lease., 2016
Chaar Sahibzaade 2: Rise of Banda Singh Bahadur,A profound and courageous story on how Guru Grace changed Banda Singh Bahadur in and out and enabled him to lead Sikh army to Punjab province to establish righteousness and equality in the ...                , 2016
Mr. Church,, 2016
American Honey,"A teenage girl with nothing to lose joins a traveling magazine sales crew, and gets caught up in a whirlwind of hard partying, law bending and young love as she criss", 2016
