Title,Description,ReleaseDate
Paul,Two British comic, 2011
J. Edgar,"J. Edgar Hoover, powerful head of the F.B.I. for nearly 50 years, looks back on his professional and personal life.", 2011
The Roommate,"When college freshman Sara arrives on campus for the first time, she befriends her roommate, Rebecca, unaware that the girl is becoming dangerously obsessed with her.", 2011
Jumping the Broom,Two very different families converge on Martha's Vineyard one weekend for a wedding., 2011
30 Minutes or Less,"Two fledgling criminals kidnap a pizza delivery guy, strap a bomb to his chest, and inform him that he has mere hours to rob a bank or else...", 2011
The Change-Up,"Dave is a married man with three kids and a loving wife, and Mitch is a single man who is at the prime of his sexual life. One fateful night while Mitch and Dave are peeing in a fountain, lightning strikes and they switch bodies.", 2011
Colombiana,"A young woman, after witnessing her parents' murder as a child in Bogota, grows up to be a stone", 2011
Sucker Punch,"A young girl is institutionalized by her abusive stepfather. Retreating to an alternative reality as a coping strategy, she envisions a plan which will help her escape from the mental facility.", 2011
Larry Crowne,"After losing his job, a middle", 2011
Drive,A mysterious Hollywood stuntman and mechanic moonlights as a getaway driver and finds himself in trouble when he helps out his neighbor., 2011
A Very Harold & Kumar 3D Christmas,"Six years after their Guantanamo Bay adventure, stoner buds Harold Lee and Kumar Patel cause a holiday fracas by inadvertently burning down Harold's father", 2011
50/50,"Inspired by a true story, a comedy centered on a 27", 2011
Courageous,"When a tragedy strikes close to home, four police officers struggle with their faith and their roles as husbands and fathers", 2011
The Rite,An American seminary student travels to Italy to take an exorcism course., 2011
Arthur,A drunken playboy stands to lose a wealthy inheritance when he falls for a woman his family doesn't like., 2011
Extremely Loud & Incredibly Close,A nine, 2011
The Sitter,"A college student on suspension is coaxed into babysitting the kids next door, though he is fully unprepared for the wild night ahead of him.", 2011
The Iron Lady,An elderly , 2011
Priest,A priest disobeys church law to track down the vampires who kidnapped his niece., 2011
The Mechanic,Follows an elite hit man as he teaches his trade to an apprentice who has a connection to one of his previous victims., 2011
Abduction,A thriller centered on a young man who sets out to uncover the truth about his life after finding his baby photo on a missing persons website., 2011
Beastly,A modern, 2011
Winnie the Pooh,"During an ordinary day in Hundred Acre Wood, Winnie the Pooh sets out to find some honey. Misinterpreting a note from Christopher Robin, Owl convinces Tigger, Rabbit, Piglet, Pooh, Kanga, ...                ", 2011
Born to Be Wild,This heartwarming film documents orphaned orangutans and elephants and the extraordinary people who rescue and raise them, 2011
Killer Elite,"When his mentor is taken captive by a disgraced Arab sheik, a killer", 2011
Season of the Witch,14th, 2011
Our Idiot Brother,A comedy centered on an idealist who barges into the lives of his three sisters., 2011
Tinker Tailor Soldier Spy,"In the bleak days of the Cold War, espionage veteran George Smiley is forced from semi", 2011
Monte Carlo,Three young women vacationing in Paris find themselves whisked away to Monte Carlo after one of the girls is mistaken for a British heiress., 2011
Sanctum,An underwater cave diving team experiences a life, 2011
Your Highness,"When Prince Fabious's bride is kidnapped, he goes on a quest to rescue her... accompanied by his lazy useless brother Thadeous.", 2011
The Darkest Hour,"In Moscow, five young people lead the charge against an alien race who have attacked Earth via our power supply.", 2011
Mars Needs Moms,A young boy named Milo gains a deeper appreciation for his mom after Martians come to Earth to take her away., 2011
Dream House,"Soon after moving into their seemingly idyllic new home, a family learns of a brutal crime committed against former residents of the dwelling.", 2011
Conan the Barbarian,A vengeful barbarian warrior sets off to get his revenge on the evil warlord who attacked his village and murdered his father when he was a boy., 2011
The Three Musketeers,The hot, 2011
The Eagle,In Roman, 2011
Haywire,A black ops super soldier seeks payback after she is betrayed and set up during a mission., 2011
Shark Night 3D,A weekend at a lake house in the Louisiana Gulf turns into a nightmare for seven vacationers as they are subjected to shark attacks., 2011
You're Next,"When the Davison family comes under attack during their wedding anniversary getaway, the gang of mysterious killers soon learns that one of the victims harbors a secret talent for fighting back.", 2011
Fright Night,"After a new neighbor moved into the house next door, Charley discovers that he is an ancient vampire and goes in search for the help of Peter Vincent, a famous ", 2011
Apollo 18,Decades, 2011
The Thing,"At an Antarctica research site, the discovery of an alien craft leads to a confrontation between graduate student Kate Lloyd and scientist Dr. Sander Halvorson.", 2011
Young Adult,"Soon after her divorce, a fiction writer returns to her home in small", 2011
African Cats,A nature documentary centered on two cat families and how they teach their cubs the ways of the wild., 2011
Judy Moody and the Not Bummer Summer,Third grader Judy Moody sets out to have the most thrilling summer of her life., 2011
My Week with Marilyn,"Colin Clark, an employee of Sir ", 2011
What's Your Number?,A woman looks back at the past nineteen men she's had relationships with in her life and wonders if one of them might be her one true love., 2011
One Day,"After spending the night together on the night of their college graduation Dexter and Em are shown each year on the same date to see where they are in their lives. They are sometimes together, sometimes not, on that day.", 2011
Warrior,"The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament ", 2011
The Tree of Life,"The story of a family in Waco, Texas in 1956. The eldest son witnesses the loss of innocence and struggles with his parents' conflicting teachings.", 2011
The Intouchables,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.", 2011
The Rum Diary,American journalist Paul Kemp takes on a freelance job in Puerto Rico for a local newspaper during the 1960s and struggles to find a balance between island culture and the expatriates who live there., 2011
Silent House,A girl is trapped inside her family's lakeside retreat and becomes unable to contact the outside world as supernatural forces haunt the house with mysterious energy and consequences., 2011
Glee: The 3D Concert Movie,A concert documentary shot during the Glee Live, 2011
Jane Eyre,A mousy governess who softens the heart of her employer soon discovers that he's hiding a terrible secret., 2011
Drive Angry,A vengeful father escapes from hell and chases after the men who killed his daughter and kidnapped his granddaughter., 2011
Straw Dogs,"L.A. screenwriter David Sumner relocates with his wife to her hometown in the deep South. There, while tensions build between them, a brewing conflict with locals becomes a threat to them both.", 2011
Win Win,A struggling lawyer and volunteer wrestling coach's chicanery comes back to haunt him when the teenage grandson of the client he has double, 2011
Hoodwinked Too! Hood vs. Evil,"Red Riding Hood is training in the group of Sister Hoods, when she and the Wolf are called to examine the sudden mysterious disappearance of Hansel and Gretel.", 2011
Prom,A group of teenagers get ready for their high school prom., 2011
I Don't Know How She Does It,"A comedy centered on the life of Kate Reddy, a finance executive who is the breadwinner for her husband and two kids.", 2011
Bernie,In small, 2011
Salmon Fishing in the Yemen,A fisheries expert is approached by a consultant to help realize a sheik's vision of bringing the sport of fly, 2011
Johnny English Reborn,Johnny English goes up against international assassins hunting down the Chinese premier., 2011
Kevin Hart: Laugh at My Pain,Experience the show that quickly became a national phenomenon. Get an up, 2011
Friends with Kids,"Two best friends decide to have a child together while keeping their relationship platonic, so they can avoid the toll kids can take on romantic relationships.", 2011
The Big Year,"Two bird enthusiasts try to defeat the cocky, cutthroat world record holder in a year", 2011
A Separation,A married couple are faced with a difficult decision , 2011
Take Me Home Tonight,"Four years after graduation, an awkward high school genius uses his sister's boyfriend's Labor Day party as the perfect opportunity to make his move on his high school crush.", 2011
Cedar Rapids,"Tim Lippe has no idea what he's in for when he's sent to Cedar Rapids, Iowa to represent his company at an annual insurance convention, where he soon finds himself under the ", 2011
Orlando,"A little ogre, different from all the others, goes searching for truth. Orlando is a human child who grows up dealing with diversity and is taught the value of respecting nature.", 2011
A Dangerous Method,A look at how the intense relationship between Carl Jung and Sigmund Freud gives birth to psychoanalysis., 2011
Flying Monsters 3D with David Attenborough," WHILE DINOSAURS WALKED THE EARTH, MONSTERS RULED THE SKIES...  For thousands of years, humans have believed that there were once flying monsters...                ", 2011
The Guard,An unorthodox Irish policeman with a confrontational personality is partnered with an up, 2011
October Baby,A college freshman's world is rocked when she learns she is the adopted survivor of a failed abortion., 2011
Margin Call,"Follows the key people at an investment bank, over a 24", 2011
Atlas Shrugged: Part I,Railroad executive Dagny Taggart and steel mogul Henry Rearden form an alliance to fight the increasingly authoritarian government of the United States., 2011
Anonymous,"The theory that it was in fact Edward De Vere, Earl of Oxford, who penned Shakespeare's plays. Set against the backdrop of the succession of Queen Elizabeth I and the Essex rebellion against her.", 2011
"Jeff, Who Lives at Home","Dispatched from his basement room on an errand for his widowed mother, slacker Jeff might discover his destiny ", 2011
Goon,"Labeled an outcast by his brainy family, a bouncer overcomes long odds to lead a team of under performing misfits to semi", 2011
The Raid: Redemption,A S.W.A.T. team becomes trapped in a tenement run by a ruthless mobster and his army of killers and thugs., 2011
Bully,A documentary on peer, 2011
Buck,An examination of the life of acclaimed 'horse whisperer' , 2011
Shame,A man's carefully cultivated private life is disrupted when his sister arrives for an indefinite stay., 2011
Don 2,"An international gangster turns himself in, then dramatically escapes ", 2011
Pina,"A tribute to the late German choreographer, Pina Bausch, as her dancers perform her most famous creations.", 2011
Like Crazy,"A British college student falls for an American student, only to be separated from him when she's banned from the U.S. after overstaying her visa.", 2011
La piel que habito,"A brilliant plastic surgeon, haunted by past tragedies, creates a type of synthetic skin that withstands any kind of damage. His guinea pig", 2011
Zindagi Na Milegi Dobara,Three friends decide to turn their fantasy vacation into reality after one of their number becomes engaged., 2011
Melancholia,Two sisters find their already strained relationship challenged as a mysterious new planet threatens to collide with Earth., 2011
From Prada to Nada,A Latina spin on Jane Austen's , 2011
Albert Nobbs,Albert Nobbs struggles to survive in late 19th, 2011
Martha Marcy May Marlene,"Haunted by painful memories and increasing paranoia, a damaged woman struggles to re", 2011
Samsara,Filmed over nearly five years in twenty, 2011
Jiro Dreams of Sushi,A documentary on 85, 2011
Ra.One,A video game developer's world spirals out of control when his shape, 2011
Bucky Larson: Born to Be a Star,A kid from the Midwest moves out to Hollywood in order to follow in his parents footsteps , 2011
Monsieur Lazhar,At a Montr, 2011
Hearat Shulayim,"Eliezer and Uriel Shkolnik are father and son as well as rival professors in Talmudic Studies. When both men learn that Eliezer will be lauded for his work, their complicated relationship reaches a new peak.", 2011
Killer Joe,"When a debt puts a young man's life in danger, he turns to putting a hit out on his evil mother in order to collect the insurance.", 2011
Hysteria,The truth of how Mortimer Granville devised the invention of the first vibrator in the name of medical science., 2011
A Better Life,A gardener in East L.A. struggles to keep his son away from gangs and immigration agents while trying to give his son the opportunities he never had., 2011
We Need to Talk About Kevin,"Kevin's mother struggles to love her strange child, despite the increasingly vicious things he says and does as he grows up. But Kevin is just getting started, and his final act will be beyond anything anyone imagined.", 2011
Take Shelter,"Plagued by a series of apocalyptic visions, a young husband and father questions whether to shelter his family from a coming storm, or from himself.", 2011
Your Sister's Sister,"Iris invites her friend Jack to stay at her family's island getaway after the death of his brother. At their remote cabin, Jack's drunken encounter with Hannah, Iris' sister, kicks off a revealing stretch of days.", 2011
Delhi Belly,Three struggling room, 2011
The Art of Getting By,"George, a lonely and fatalistic teen who has made it all the way to his senior year without ever having done a real day of work, is befriended by Sally, a popular but complicated girl who recognizes in him a kindred spirit.", 2011
Saving Private Perez,A Mexican crime lord is forced by his mother to plan a suicidal rescue mission to find his lost brother in the most unexpected place on Earth..., 2011
The Kid with a Bike,"Abandoned by his father, a young boy is left in a state", 2011
The Devil's Double,A chilling vision of the House of Saddam Hussein comes to life through the eyes of the man who was forced to become the double of Hussein's sadistic son., 2011
The Oscar Nominated Short Films: Animation,Collective screening of the Academy Award nominated short films from the Animation category for 2011., 2011
Snow Flower and the Secret Fan,A story set in nineteenth, 2011
Another Earth,"On the night of the discovery of a duplicate Earth in the Solar system, an ambitious young student and an accomplished composer cross paths in a tragic accident.", 2011
Take This Waltz,A happily married woman falls for the artist who lives across the street., 2011
"Beats, Rhymes & Life: The Travels of a Tribe Called Quest",Michael Rapaport documents the inner workings and behind the scenes drama that follows this innovative and influential band to this day., 2011
Hodejegerne,An accomplished headhunter risks everything to obtain a valuable painting owned by a former mercenary., 2011
Kill the Irishman,"The true story of Danny Greene, a tough Irish thug working for mobsters in Cleveland during the 1970's.", 2011
The Deep Blue Sea,The wife of a British Judge is caught in a self, 2011
There Be Dragons,"Arising out of the horror of the Spanish Civil War, a candidate for canonization is investigated by a journalist who discovers his own estranged father had a deep, dark and devastating connection to the saint's life.", 2011
Page One: Inside the New York Times,Unprecedented access to the New York Times newsroom yields a complex view of the transformation of a media landscape fraught with both peril and opportunity., 2011
Desi Boyz,"Two friends lose their jobs, then part bitterly after they get exposed as male escorts.", 2011
In Darkness,A dramatization of one man's rescue of Jewish refugees in the German, 2011
Attack the Block,A teen gang in South London defend their block from an alien invasion., 2011
Damsels in Distress,A trio of girls set out to change the male, 2011
Diana Vreeland: The Eye Has to Travel,"A look at the life and work of the influential fashion editor of Harpers Bazaar, Diana Vreeland.", 2011
From Up on Poppy Hill,A group of Yokohama teens look to save their school's clubhouse from the wrecking ball in preparations for the 1964 Tokyo Olympics., 2011
Rockstar,"Janardhan Jakhar chases his dreams of becoming a big Rock star, during which he falls in love with Heer.", 2011
Rampart,"Set in 1999 Los Angeles, veteran police officer Dave Brown, the last of the renegade cops, works to take care of his family, and struggles for his own survival.", 2011
Yamla Pagla Deewana,A married Canadian travels to India to re, 2011
The Beaver,A troubled husband and executive adopts a beaver hand, 2011
Dark Horse,Romance blooms between two thirty, 2011
Sholem Aleichem: Laughing in the Darkness,A riveting portrait of the great writer whose stories became the basis of the Broadway musical Fiddler on the Roof. Sholem Aleichem, 2011
First Position,"A documentary that follows six young dancers from around the world as they prepare for the Youth America Grand Prix, one of the most prestigious ballet competitions in the world.", 2011
Higher Ground,A chronicle of one woman's lifelong struggle with her faith., 2011
Thin Ice,A dishonest insurance salesman's life quickly disintegrates during a Wisconsin winter when he teams up with a psychopath to steal a rare violin at the home of a reclusive farmer., 2011
Ready,"Set in Thailand and India, a case of mistaken identity leads to love", 2011
Meerkats,        , 2011
Pariah,"A Brooklyn teenager juggles conflicting identities and risks friendship, heartbreak, and family in a desperate search for sexual expression.", 2011
Coriolanus,A banished hero of Rome allies with a sworn enemy to take his revenge on the city., 2011
Mausam,"A war, religious conflicts, and misunderstandings create obstacles for a couple of different faiths.", 2011
Hobo with a Shotgun,"A homeless vigilante blows away crooked cops, pedophile Santas, and other scumbags with his trusty pump", 2011
Terri,The story of a large fifteen, 2011
The Greatest Movie Ever Sold,"A documentary about branding, advertising and product placement that is financed and made possible by brands, advertising and product placement.", 2011
The Last Lions,Fifty years ago there were close to half, 2011
Le Havre,"When an African boy arrives by cargo ship in the port city of Le Havre, an aging shoe shiner takes pity on the child and welcomes him into his home.", 2011
W.E.,The affair between King Edward VIII and American divorc, 2011
The Future,"When a couple decides to adopt a stray cat their perspective on life changes radically, literally altering the course of time and space and testing their faith in each other and themselves.", 2011
Dum Maaro Dum,A corrupt police officer is entrusted the task of apprehending drug, 2011
Undefeated,Chronicles three underprivileged students from inner, 2011
Double Dhamaal,Four slackers decide to avenge their humiliation at the hands of a con, 2011
"Peace, Love, & Misunderstanding",An uptight NYC lawyer takes her two teenagers to her hippie mother's farmhouse upstate for a family vacation., 2011
Machine Gun Preacher,, 2011
Et maintenant on va où?,A group of Lebanese women try to ease religious tensions between Christians and Muslims in their village., 2011
Habemus Papam,A story centered on the relationship between the newly elected Pope and his therapist., 2011
Weekend,"After a drunken house party with his straight mates, Russell heads out to a gay club. Just before closing time he picks up Glen but what's expected to be just a one", 2011
The Flat,As a documentarian cleans out the flat that belonged to his grandparents , 2011
Thank You,Three wives engage the services of a private investigator after they suspect their respective husbands of infidelity., 2011
Pearl Jam Twenty,A documentary on the band Pearl Jam that marks their 20th anniversary in the year 2011., 2011
Circumstance,A wealthy Iranian family struggles to contain a teenager's growing sexual rebellion and her brother's dangerous obsession., 2011
No One Killed Jessica,"A journalist, who is more of an activist teams up with the sister of a murdered model, as she gets interested in the case and wants to bring justice to her case.", 2011
Project Nim,Tells the story of a chimpanzee taken from its mother at birth and raised like a human child by a family in a brownstone on the upper West Side in the 1970s., 2011
Sound of My Voice,Two documentary filmmakers attempt to penetrate a cult who worships a woman who claims to be from the future., 2011
Mere Brother Ki Dulhan,"A young man tries to arrange a marriage for his brother, but finds himself falling in love with the chosen fianc", 2011
Turtle,        , 2011
La fille du puisatier,"In 1930s southern France, a father is torn between his sense of honor and his deep love for his daughter when she gets in trouble with the wealthy son of a shopkeeper.", 2011
The Oranges,"The enduring friendship between the Walling and Ostroff families is tested when Nina, the prodigal Ostroff daughter, returns home for the holidays after a five", 2011
Singham,A truly honest police officer is transferred to a town controlled by a gangster he has humiliated. The gangster believes he can use good power to bring down this officer who made him look foolish and weak., 2011
Aarakshan,A decision by India's supreme court tests a man's friendships and loyalty., 2011
Starbuck,"As his lover announces her pregnancy, a fortysomething slacker receives other life", 2011
Creature,"In the back country of Louisiana, a group of friends unearth a terrible secret that unleashes a monster from the depths of the swamp.", 2011
Gianni e le donne,"Gianni is a retiree who has become invisible to most everyone around him. In response, he tries his best to generate some kind of extracurricular love life.", 2011
Mlyn i krzyz,The film focuses on a dozen of the 500 characters depicted in Bruegel's painting. The theme of Christ's suffering is set against religious persecution in Flanders in 1564., 2011
Being Elmo: A Puppeteer's Journey,The Muppet Elmo is one of the most beloved characters among children across the globe. Meet the unlikely man behind the puppet , 2011
In the Land of Blood and Honey,"During the Bosnian War, Danijel, a soldier fighting for the Serbs, re", 2011
The Interrupters,A year in the life of a city grappling with urban violence., 2011
7 Khoon Maaf,"Susanna's quest for love leads to a series of marriages, each ending in the mysterious death of her latest husband.", 2011
Conan O'Brien Can't Stop,A documentary on Conan O'Brien's comedy tour of the U.S. and Canada after leaving his post at , 2011
Munger Road,"On the eve of the annual Scarecrow Festival, two St. Charles police officers search for a return killer the same night four teenagers go missing on Munger Road.", 2011
The Black Power Mixtape 1967-1975,Footage shot by a group of Swedish journalists documenting the Black Power Movement in the United States is edited together by a contemporary Swedish filmmaker., 2011
Rascals,Two rival con, 2011
The Music Never Stopped,"Tale of a father who struggles to bond with his estranged son Gabriel, after Gabriel suffers from a brain tumor that prevents him from forming new memories. With Gabriel unable to shed the ...                ", 2011
I Am Eleven,The lives and thoughts of children from all around the world. It weaves together deeply personal and at times hilarious portraits of what it means to stand on the cusp between childhood and adolescence., 2011
Poulet aux prunes,"Since his beloved violin was broken, Nasser Ali Khan, one of the most renowned musicians of his day, has lost all taste for life. Finding no instrument worthy of replacing it, he decides to confine himself to bed to await death.", 2011
Tu seras mon fils,"A story that focuses on the problematic relationship between Paul Marseul, owner of a prestigious vineyard in Saint Emilion and his son, Martin, who works with him on the family estate. ...                ", 2011
Life in a Day,A documentary shot by film, 2011
Gerhard Richter - Painting,"A documentary on the German artist that includes glimpses at his studio, which has not been seen in decades.", 2011
Trishna,The story of the tragic relationship between the son of a property developer and the daughter of an auto rickshaw owner., 2011
Into the Abyss,Conversations with death row inmate , 2011
Neil Young Journeys,Neil Young returns to his birth Canadian province of Ontario to revisit his old haunts and to perform in Toronto's vintage Massey Hall., 2011
Touchback,A man looks back 15 years to the injury that ended his career as a promising high, 2011
10 Years,"The night before their high school reunion, a group of friends realize they still haven't quite grown up in some ways.", 2011
Blackthorn,"In Bolivia, Butch Cassidy ", 2011
Somewhere Between,A documentary on four teenage girls living in different parts of the US and united by one thing, 2011
"The Man Nobody Knew: In Search of My Father, CIA Spymaster William Colby","A son's riveting look at a father whose life seemed straight out of a spy thriller. The secret world of a legendary CIA spymaster. Told by William Colby's son Carl, the story is at once a ...                ", 2011
Go for It!,"A student must decide between follwing her dream to become a dancer, or to follow the wishes of her family.", 2011
Fullmetal Alchemist: The Sacred Star of Milos,"In the lost holy land of Milos, the Elrics search for the truth behind an unknown form of alchemy. What secrets are hidden in Milos", 2011
The Hunter,"Martin, a mercenary, is sent from Europe by a mysterious biotech company to the Tasmanian wilderness on a hunt for the last Tasmanian tiger.", 2011
Polisse,A journalist covering police assigned to a juvenile division enters an affair with one of her subjects., 2011
Bellflower,Two friends spend all their free time building flame, 2011
Restless,The story of a terminally ill teenage girl who falls for a boy who likes to attend funerals and their encounters with the ghost of a Japanese kamikaze pilot from WWII., 2011
Jig,Documentary telling the compelling story of the 40th Irish Dancing World Championships., 2011
Elles,"On her latest assignment, a journalist for Elle immerses herself in a prostitution ring run by university students.", 2011
Pastorela,Agent Jesus Juarez , 2011
"Filth to Ashes, Flesh to Dust",Purge, 2011
Crazy Horse,"A look inside Paris' Crazy Horse, a club that boasts the greatest and most chic nude dancing in the world.", 2011
A Good Old Fashioned Orgy,A group of 30, 2011
Magic Trip: Ken Kesey's Search for a Kool Place,A freewheeling portrait of Ken Kesey and the Merry Pranksters' fabled road trip across America., 2011
Unforgivable,A crime writer living in Venice while working on his new novel meets and soon marries his real, 2011
Bol,"A female convict on death row, her last wish is to tell her story to the media.", 2011
Revenge of the Electric Car,"Director Chris Paine takes his film crew behind the closed doors of Nissan, GM, and the Silicon Valley start", 2011
Simon och ekarna,Two boys come of age in Sweden during World War II., 2011
Gun Hill Road,An ex, 2011
Eames: The Architect & The Painter,The husband, 2011
I Wish,Twelve, 2011
This Must Be the Place,"Cheyenne, a retired rock star living off his royalties in Dublin, returns to New York City to find the man responsible for a humiliation suffered by his recently deceased father during W.W.II.", 2011
Bir Zamanlar Anadolu'da,A group of men set out in search of a dead body in the Anatolian steppes., 2011
Labios rojos,"In Mexico City, Ricardo is a family man, pressed by responsibilities, when he finally lands a better job as creative director for an ad agency. But that's when his problems really begin", 2011
Toy Story 3,The toys are mistakenly delivered to a day, 2010
Alice in Wonderland,Nineteen, 2010
Iron Man 2,"With the world now aware of his identity as Iron Man, Tony Stark must contend with both his declining health and a vengeful mad man with ties to his father's legacy.", 2010
The Twilight Saga: Eclipse,"As a string of mysterious killings grips Seattle, Bella, whose high school graduation is fast approaching, is forced to choose between her love for vampire Edward and her friendship with werewolf Jacob.", 2010
Harry Potter and the Deathly Hallows: Part 1,"As Harry races against time and evil to destroy the Horcruxes, he uncovers the existence of three most powerful objects in the wizarding world", 2010
Inception,"A thief, who steals corporate secrets through use of dream", 2010
Despicable Me,"When a criminal mastermind uses a trio of orphan girls as pawns for a grand scheme, he finds their love is profoundly changing him for the better.", 2010
Shrek Forever After,Rumpelstiltskin tricks a mid, 2010
How to Train Your Dragon,"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.", 2010
Tangled,The magically long, 2010
The Karate Kid,Work causes a single mother to move to China with her young son, 2010
Tron: Legacy,The son of a virtual world designer goes looking for his father and ends up inside the digital world that his father designed. He meets his father's corrupted creation and a unique ally who was born inside the digital world., 2010
True Grit,A tough U.S. Marshal helps a stubborn teenager track down her father's murderer., 2010
Clash of the Titans,"Perseus demigod, son of Zeus, battles the minions of the underworld to stop them from conquering heaven and earth.", 2010
Grown Ups,"After their high school basketball coach passes away, five good friends and former teammates reunite for a Fourth of July holiday weekend.", 2010
Little Fockers,Family, 2010
Megamind,"The supervillain Megamind finally defeats his nemesis, the superhero Metro Man. But without a hero, he loses all purpose and must find new meaning to his life.", 2010
The King's Speech,"The story of King George VI of the United Kingdom of Great Britain and Northern Ireland, his impromptu ascension to the throne and the speech therapist who helped the unsure monarch become worthy of it.", 2010
The Last Airbender,"Follows the adventures of Aang, a young successor to a long line of Avatars, who must master all four elements and stop the Fire Nation from enslaving the Water Tribes and the Earth Kingdom.", 2010
Shutter Island,"In 1954, a U.S. marshal investigates the disappearance of a murderess who escaped from a hospital for the criminally insane.", 2010
The Other Guys,Two mismatched New York City detectives seize an opportunity to step up like the city's top cops whom they idolize , 2010
Salt,A CIA agent goes on the run after a defector accuses her of being a Russian spy., 2010
Jackass 3D,Johnny Knoxville and company return for the third installment of their TV show spin, 2010
Valentine's Day,Intertwining couples and singles in Los Angeles break, 2010
Black Swan,A committed dancer wins the lead role in a production of Tchaikovsky's , 2010
Robin Hood,"In 12th century England, Robin and his band of marauders confront corruption in a local village and lead an uprising against the crown that will forever alter the balance of world power.", 2010
The Chronicles of Narnia: The Voyage of the Dawn Treader,"Lucy and Edmund Pevensie return to Narnia with their cousin Eustace where they meet up with Prince Caspian for a trip across the sea aboard the royal ship The Dawn Treader. Along the way they encounter dragons, dwarves, merfolk, and a band of lost warriors before reaching the edge of the world.", 2010
The Expendables,A CIA operative hires a team of mercenaries to eliminate a Latin dictator and a renegade CIA agent., 2010
Due Date,High, 2010
Yogi Bear,"A documentary filmmaker travels to Jellystone Park to shoot a project and soon crosses paths with Yogi Bear, his sidekick Boo", 2010
Date Night,"In New York City, a case of mistaken identity turns a bored married couple's attempt at a glamorous and romantic evening into something more thrilling and dangerous.", 2010
The Social Network,Harvard student , 2010
Sex and the City 2,"While wrestling with the pressures of life, love, and work in Manhattan, Carrie, Miranda, and Charlotte join Samantha for a trip to Abu Dhabi ", 2010
The Book of Eli,A post, 2010
The Fighter,A look at the early years of boxer , 2010
The Town,"As he plans his next job, a longtime thief tries to balance his feelings for a bank manager connected to one of his earlier heists, as well as the FBI agent looking to bring him and his crew down.", 2010
Prince of Persia: The Sands of Time,A young fugitive prince and princess must stop a villain who unknowingly threatens to destroy the world with a special dagger that enables the magic sand inside to reverse time., 2010
RED,When his peaceful life is threatened by a high, 2010
Percy Jackson & the Olympians: The Lightning Thief,A teenager discovers he's the descendant of a Greek god and sets out on an adventure to settle an on, 2010
Paranormal Activity 2,After experiencing what they think are a series of , 2010
Unstoppable,"With an unmanned, half", 2010
Eat Pray Love,"A married woman realizes how unhappy her marriage really is, and that her life needs to go in a different direction. After a painful divorce, she takes off on a round", 2010
Dear John,A romantic drama about a soldier who falls for a conservative college student while he's home on leave., 2010
The A-Team,"A group of Iraq War veterans looks to clear their name with the U.S. military, who suspect the four men of committing a crime for which they were framed.", 2010
Knight and Day,A young woman gets mixed up with a disgraced spy who is trying to clear his name., 2010
Dinner for Schmucks,"When he finds out that his work superiors host a dinner celebrating the idiocy of their guests, a rising executive questions it when he's invited, just as he befriends a man who would be the perfect guest.", 2010
The Tourist,"Revolves around Frank, an American tourist visiting Italy to mend a broken heart. Elise is an extraordinary woman who deliberately crosses his path.", 2010
The Bounty Hunter,A bounty hunter learns that his next target is his ex, 2010
Diary of a Wimpy Kid,"The adventures of a teenager who is fresh out and in elementary, where he has to learn the consequences and responsibility to survive the year.", 2010
The Sorcerer's Apprentice,Master sorcerer Balthazar Blake must find and train Merlin's descendant to defeat dark sorceress Morgana la F, 2010
A Nightmare on Elm Street,"The spectre of a dead child rapist haunts the children of the parents who murdered him, stalking and killing them in their dreams.", 2010
The Last Song,"A rebellious girl is sent to a Southern beach town for the summer to stay with her father. Through their mutual love of music, the estranged duo learn to reconnect.", 2010
The Wolfman,"Upon his return to his ancestral homeland, an American man is bitten, and subsequently cursed by, a werewolf.", 2010
Get Him to the Greek,A record company intern is hired to accompany out, 2010
Resident Evil: Afterlife,"While still out to destroy the evil Umbrella Corporation, Alice joins a group of survivors living in a prison surrounded by the infected who also want to relocate to the mysterious but supposedly unharmed safe haven known only as Arcadia.", 2010
Why Did I Get Married Too?,"Four couples find themselves struggling to save their marriages once again on their annual marriage retreat, while each of them battle through financial, physical, mental, and emotional issues.", 2010
Tooth Fairy,A bad deed on the part of a tough minor, 2010
Secretariat,Penny Chenery Tweedy and colleagues guide her long, 2010
Easy A,A clean, 2010
Takers,A group of bank robbers find their multi, 2010
Legend of the Guardians: The Owls of Ga'Hoole,"When a young owl is abducted by an evil Owl army, he must escape with new", 2010
Insidious,A family looks to prevent evil spirits from trapping their comatose child in a realm called The Further., 2010
Life as We Know It,Two single adults become caregivers to an orphaned girl when their mutual best friends die in an accident., 2010
Letters to Juliet,"Sophie dreams of becoming a writer and travels to Verona, Italy where she meets the ", 2010
Wall Street: Money Never Sleeps,"Now out of prison but still disgraced by his peers, Gordon Gekko works his future son", 2010
Predators,A group of elite warriors parachute into an unfamiliar jungle and are hunted by members of a merciless alien race., 2010
Hubble 3D,An IMAX 3D camera chronicles the effort of 7 astronauts aboard the Space Shuttle Atlantis to repair the Hubble Space Telescope., 2010
Hot Tub Time Machine,"A malfunctioning time machine at a ski resort takes a man back to 1986 with his two friends and nephew, where they must relive a fateful night and not change anything to make sure the nephew is born.", 2010
